Keypoint,Variance
2091,0.1051
1686,0.105677
2043,0.105812
1091,0.106149
876,0.106497
1323,0.106969
1324,0.106969
2034,0.107238
868,0.107358
282,0.107512
1483,0.107954
2222,0.110532
338,0.111297
1997,0.11135
99,0.111668
1915,0.1126
2240,0.114696
2209,0.115997
459,0.116266
1942,0.117211
944,0.117549
2073,0.118217
1902,0.118604
1676,0.119586
176,0.119626
524,0.120342
1956,0.121231
1955,0.121231
2143,0.121701
1496,0.122732
2248,0.123216
116,0.12404
1978,0.124634
1506,0.125552
415,0.127046
1824,0.130538
280,0.131817
1195,0.132194
1720,0.133325
665,0.134123
157,0.134644
576,0.135971
1964,0.138087
1854,0.138212
1937,0.138234
1916,0.141802
1794,0.141983
645,0.143007
2221,0.146254
658,0.149458
2080,0.149534
1802,0.150397
1367,0.153077
1914,0.155087
418,0.156048
1135,0.157355
1080,0.159178
1516,0.159608
1747,0.161203
2104,0.163367
232,0.164205
1476,0.164524
256,0.16488
384,0.166731
2109,0.167468
2280,0.169822
1115,0.170009
476,0.170176
188,0.172327
1153,0.174344
2130,0.17475
632,0.175232
530,0.175378
2197,0.175532
2110,0.176733
1548,0.17783
1846,0.180391
1151,0.181082
2281,0.185285
1639,0.186128
1008,0.191028
727,0.192033
704,0.19214
2256,0.192996
956,0.19551
2019,0.197075
2125,0.198823
507,0.20167
1019,0.204006
1927,0.205736
1775,0.209318
2000,0.210428
2195,0.212113
2090,0.214142
323,0.214818
104,0.222226
758,0.22311
996,0.223797
2151,0.228377
1999,0.232302
1899,0.235018
1900,0.235018
177,0.236988
178,0.236988
1136,0.237416
872,0.24221
2126,0.24332
538,0.244064
707,0.246384
26,0.248174
2187,0.253343
2052,0.254234
748,0.255045
2086,0.255576
826,0.256687
788,0.259182
1274,0.26337
685,0.26348
1089,0.2645
1750,0.269135
410,0.26999
1079,0.271866
1456,0.275032
1948,0.281825
1844,0.282732
172,0.28622
2095,0.286395
1622,0.287192
1975,0.289302
278,0.28931
249,0.291581
2128,0.296704
266,0.299477
2169,0.300718
306,0.303917
305,0.303917
913,0.303957
1969,0.306896
2031,0.309409
1843,0.309873
2266,0.314843
1860,0.315065
1209,0.328323
1464,0.328892
453,0.329181
1795,0.329347
77,0.331451
1901,0.331897
2002,0.332429
1427,0.334074
1852,0.335413
2173,0.339939
1895,0.343458
535,0.347386
342,0.351616
893,0.356299
15,0.372469
960,0.373009
346,0.373037
924,0.38062
2227,0.38376
1982,0.385295
1987,0.38665
855,0.387746
2116,0.38903
368,0.389591
1611,0.389873
1565,0.397582
253,0.400862
1078,0.403241
1475,0.40776
130,0.408149
902,0.415751
2223,0.41936
2261,0.420355
1070,0.447449
1359,0.450815
110,0.457803
391,0.459955
557,0.462034
558,0.462034
1231,0.463827
1253,0.466707
1173,0.468406
1717,0.471094
1718,0.471094
1208,0.479435
2093,0.482282
659,0.482593
1693,0.490909
1379,0.494655
967,0.500583
1294,0.506087
326,0.511414
498,0.538701
497,0.538701
600,0.550486
2236,0.550741
236,0.553922
1277,0.571851
1853,0.583002
2199,0.59621
248,0.597638
815,0.603899
2183,0.604265
1421,0.619166
988,0.630669
1696,0.638818
23,0.641849
1266,0.66426
417,0.686946
1058,0.709611
92,0.716225
416,0.716656
373,0.731301
292,0.757388
183,0.758932
49,0.762974
50,0.762974
1002,0.779842
277,0.784496
2005,0.806093
845,0.817283
1033,0.833358
1065,0.837217
1855,0.85146
227,0.863459
58,0.874473
219,0.882641
796,0.926739
1671,0.943426
1672,0.943426
2092,0.968578
918,0.988973
155,0.99289
1704,1.02574
2153,1.05075
822,1.05198
1488,1.06767
1857,1.09974
55,1.24534
10,1.25728
631,1.25987
630,1.25987
2072,1.26399
1974,1.30193
816,1.30383
1767,1.33322
2020,1.3803
1331,1.43237
762,1.58989
1007,1.75709
1235,1.97619
2263,2.50969
2245,2.74269
212,3.22958
2176,3.52212
483,3.52719
1911,3.73383
161,4.34829
2,4.44738
1913,4.97043
800,5.12385
1739,5.55585
1238,5.60639
783,7.03405
2211,12.0297
1561,12.6814
1066,13.5643
13,15.9934
2139,18.4223
1801,23.4038
1701,29.2837
186,36.9424
1556,42.3164
427,54.4776
1726,55.5081
1793,62.5341
1849,62.7747
1194,76.3153
892,92.3226
1748,104.634
2189,110.087
643,120.66
856,122.737
1248,123.392
2094,167.156
613,194.016
1300,194.545
958,218.343
768,281.813
914,383.288
1610,431.058
205,457.314
1118,547.087
1637,597.392
1856,777.881
1719,885.911
633,996.321
2127,1012.13
327,1246.3
843,1448.79
2165,1553.85
1723,1561.29
441,1757.06
1648,1809.54
64,1858.96
1777,2051.15
2141,2173.87
948,2187.73
907,2235.28
