KeypointIndex,FrameIndex,X,Y,Variance
511,0,587.042,275.127,0.0564244
511,1,586.921,274.898,0.0564244
511,2,586.669,274.821,0.0564244
511,3,586.535,274.812,0.0564244
516,0,591.146,146.436,0.0135257
516,1,590.98,146.34,0.0135257
516,2,590.974,146.375,0.0135257
516,3,590.865,146.272,0.0135257
519,0,587.435,1015.3,0.0131719
519,1,587.146,1015.24,0.0131719
519,2,587.196,1015.32,0.0131719
519,3,587.233,1015.33,0.0131719
520,0,590.604,91.9682,0.0155527
520,1,590.718,91.9157,0.0155527
520,2,590.705,91.8486,0.0155527
520,3,590.616,91.667,0.0155527
524,0,590.622,828.92,0.120342
524,1,591.298,829.165,0.120342
524,2,591.448,828.909,0.120342
524,3,590.858,829.026,0.120342
526,0,594.062,219.513,0.0823147
526,1,593.959,219.695,0.0823147
526,2,593.632,219.179,0.0823147
526,3,593.571,219.31,0.0823147
529,0,593.891,891.419,290951
529,1,1610.99,531.818,290951
530,0,593.891,891.419,0.175378
530,1,593.228,891.958,0.175378
530,2,593.02,892.102,0.175378
530,3,593.22,891.942,0.175378
535,0,602.309,219.55,0.347386
535,1,602.318,218.557,0.347386
535,2,602.139,218.365,0.347386
535,3,602.09,217.975,0.347386
536,0,601.823,372.926,0.0546543
536,1,601.566,373.034,0.0546543
536,2,601.385,372.796,0.0546543
536,3,601.249,372.835,0.0546543
538,0,605.207,105.709,0.244064
538,1,604.349,105.219,0.244064
543,0,764.787,670.897,0.0259667
543,1,765.107,670.938,0.0259667
544,0,606.08,83.9911,0.103427
544,1,605.83,83.402,0.103427
544,2,605.755,83.293,0.103427
544,3,605.802,83.261,0.103427
547,0,604.9,801.389,0.0410152
547,1,605.063,801.18,0.0410152
547,2,604.798,801.598,0.0410152
554,0,679.299,420.893,14307
554,1,727.36,692.903,14307
554,2,727.738,692.837,14307
554,3,727.912,692.829,14307
557,0,611.215,259.981,0.462034
557,1,611.873,261.421,0.462034
557,2,611.878,261.511,0.462034
557,3,611.749,261.292,0.462034
558,0,611.215,259.981,0.462034
558,1,611.873,261.421,0.462034
558,2,611.878,261.511,0.462034
558,3,611.749,261.292,0.462034
559,0,612.214,224.789,0.016637
559,1,612.152,224.706,0.016637
559,2,612.012,224.591,0.016637
559,3,611.951,224.639,0.016637
560,0,612.214,224.789,0.016637
560,1,612.152,224.706,0.016637
560,2,612.012,224.591,0.016637
560,3,611.951,224.639,0.016637
571,0,936.778,650.111,6480.18
571,1,1070.99,561.191,6480.18
572,0,617.389,117.452,0.0505873
572,1,617.218,117.24,0.0505873
572,2,617.05,117.685,0.0505873
572,3,616.989,117.371,0.0505873
576,0,615.812,789.915,0.135971
576,1,616.554,789.236,0.135971
576,2,616.143,789.567,0.135971
576,3,615.969,789.667,0.135971
586,0,541.751,713.723,74284.9
586,1,621.478,569.977,74284.9
586,2,1203.2,572.965,74284.9
586,3,620.981,570.384,74284.9
587,0,621.655,336.227,0.0273958
587,1,621.737,335.976,0.0273958
587,2,621.553,335.877,0.0273958
597,0,628.769,378.562,0.0097653
597,1,628.732,378.474,0.0097653
597,2,628.651,378.45,0.0097653
597,3,628.567,378.597,0.0097653
599,0,943.931,648.798,0.0195123
599,1,943.718,648.979,0.0195123
600,0,629.441,399.785,0.550486
600,1,628.184,400.343,0.550486
600,2,627.789,400.163,0.550486
603,0,633.349,122.802,0.0223798
603,1,633.388,123.011,0.0223798
603,2,633.205,123.107,0.0223798
604,0,630.624,755.34,6029.32
604,1,676.646,801.674,6029.32
604,2,753.552,896.617,6029.32
607,0,632.941,842.215,25570
607,1,919.398,1026.94,25570
607,2,609.204,927.449,25570
613,0,555.877,697.054,194.016
613,1,535.852,718.68,194.016
613,2,535.723,718.763,194.016
614,0,637.568,315.693,0.0125072
614,1,637.528,315.61,0.0125072
614,2,637.354,315.62,0.0125072
614,3,637.354,315.742,0.0125072
621,0,525.446,785.847,16356
621,1,774.805,842.801,16356
626,0,640.362,217.709,0.0245588
626,1,640.29,217.787,0.0245588
626,2,640.116,217.664,0.0245588
626,3,640.056,217.526,0.0245588
628,0,956.166,503.418,19095.9
628,1,956.117,503.464,19095.9
628,2,639.768,544.179,19095.9
628,3,956.559,503.276,19095.9
630,0,639.925,619.762,1.25987
630,1,639.122,620.398,1.25987
630,2,638.257,621.003,1.25987
630,3,637.627,621.678,1.25987
631,0,639.925,619.762,1.25987
631,1,639.122,620.398,1.25987
631,2,638.257,621.003,1.25987
631,3,637.627,621.678,1.25987
632,0,641.468,875.581,0.175232
632,1,641.717,875.443,0.175232
632,2,640.948,876.071,0.175232
633,0,1570.7,190.142,996.321
633,1,1565.18,123.856,996.321
633,2,1564.64,123.024,996.321
643,0,644.192,573.326,120.66
643,1,628.446,588.647,120.66
645,0,642.712,894.588,0.143007
645,1,641.923,895.005,0.143007
645,2,641.847,894.876,0.143007
645,3,642.096,894.666,0.143007
648,0,781.914,205.425,102864
648,1,377.521,703.343,102864
650,0,648.54,397.113,0.0351363
650,1,648.326,397.034,0.0351363
650,2,648.287,396.899,0.0351363
650,3,648.178,396.762,0.0351363
655,0,653.899,912.203,0.0690463
655,1,654.141,912.035,0.0690463
655,2,653.631,912.135,0.0690463
655,3,653.48,912.042,0.0690463
658,0,655.712,604.073,0.149458
658,1,655.812,604.697,0.149458
658,2,656.276,604.715,0.149458
659,0,655.712,604.073,0.482593
659,1,655.812,604.697,0.482593
659,2,656.276,604.715,0.482593
659,3,657.322,604.711,0.482593
660,0,657.151,392.152,0.0724007
660,1,656.98,392.454,0.0724007
660,2,656.707,392.696,0.0724007
660,3,656.72,392.493,0.0724007
662,0,657.434,510.09,0.0163745
662,1,657.47,509.963,0.0163745
662,2,657.207,509.911,0.0163745
662,3,657.306,509.907,0.0163745
665,0,648.627,955.777,0.134123
665,1,649.063,955.754,0.134123
665,2,649.22,955.941,0.134123
665,3,649.427,956.301,0.134123
666,0,660.325,402.355,0.0394304
666,1,660.575,402.244,0.0394304
666,2,660.444,401.952,0.0394304
672,0,720.889,275.431,0.00538079
672,1,720.857,275.574,0.00538079
674,0,662.269,664.883,0.0392543
674,1,662.297,664.547,0.0392543
674,2,662.165,664.735,0.0392543
674,3,661.983,664.951,0.0392543
675,0,662.269,664.883,0.0392543
675,1,662.297,664.547,0.0392543
675,2,662.165,664.735,0.0392543
675,3,661.983,664.951,0.0392543
